# time = 0
# Grid points = 408
# Domain Size = 7
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -2.4430322008e+00  -2.4442945139e+00   1.0000000000e+00   1.8500000000e-04   8.9751939861e-02   2.2664172015e-01   7.0002478965e-01
  -2.4402409579e+00  -2.4417698876e+00   1.0000000000e+00   1.8500000000e-04   6.0268638591e-02   1.6949338634e-01   5.3789683405e-01
  -2.4349147573e+00  -2.4387120283e+00   1.0000000000e+00   1.8500000000e-04  -1.5087992544e-01   6.5210640889e-02   3.7233884334e-01
  -2.4273202153e+00  -2.4311174863e+00   1.0000000000e+00   1.8500000000e-04  -4.6458461214e-01  -1.1066888737e-01   2.4105595460e-01
  -2.4159284023e+00  -2.4235229443e+00   1.0000000000e+00   1.8500000000e-04  -6.9469374522e-01  -1.1719318892e-01   1.0485058765e-01
  -2.4052096502e+00  -2.4083338602e+00   1.0000000000e+00   1.8500000000e-04  -6.0039999659e-01   8.6449160809e-02   2.1561273728e-01
  -2.4006678883e+00  -2.4020854403e+00   1.0000000000e+00   1.8500000000e-04  -4.4215266679e-01   3.7448036909e-01   2.2369180738e-01
  -2.3977589630e+00  -2.3992503362e+00   1.0000000000e+00   1.8500000000e-04  -2.0372380146e-01   3.3577822318e-01   1.0264260881e-01
  -2.3934283004e+00  -2.3962675898e+00   1.0000000000e+00   1.8500000000e-04   1.1295766793e-01   1.4182997859e-01   5.2946490022e-02
  -2.3878049564e+00  -2.3905890110e+00   1.0000000000e+00   1.8500000000e-04   2.7028715265e-01  -7.6698276884e-02   4.2622090163e-02
  -2.3822368470e+00  -2.3850209017e+00   1.0000000000e+00   1.8500000000e-04   3.2374099324e-01  -3.3079456301e-01   3.4336212592e-02
  -2.3776223188e+00  -2.3794527923e+00   1.0000000000e+00   1.8500000000e-04   2.6755444843e-01  -5.4137580572e-01   2.5656149749e-02
  -2.3744762601e+00  -2.3757918453e+00   1.0000000000e+00   1.8500000000e-04   2.7976708245e-01  -7.6556884394e-01   9.4753531286e-03
  -2.3713895729e+00  -2.3731606750e+00   1.0000000000e+00   1.8500000000e-04   2.4085323270e-01  -1.0096177318e+00  -1.4203742732e-01
  -2.3653530945e+00  -2.3696184707e+00   1.0000000000e+00   1.8500000000e-04   3.1537550355e-01  -1.0269703753e+00  -6.1211127876e-01
  -2.3568223421e+00  -2.3610877183e+00   1.0000000000e+00   1.8500000000e-04   2.2289369973e-01  -9.4487032000e-01  -1.0164605649e+00
