# time = 0
# Grid points = 169
# Domain Size = 14
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -4.4546944505e-01  -4.9120800442e-01   1.0000000000e+00   1.2500000000e-02   7.4878250836e-01   8.6593067567e-01   1.2417791391e-01
  -3.4607506322e-01  -3.9973088568e-01   1.0000000000e+00   1.2500000000e-02   7.9747541131e-01   8.3731251337e-01   1.2805336991e-01
  -2.2943404348e-01  -2.9241924077e-01   1.0000000000e+00   1.2500000000e-02   8.3500536251e-01   8.0708955631e-01   1.2981506654e-01
  -9.8035817054e-02  -1.6644884619e-01   1.0000000000e+00   1.2500000000e-02   8.5169364040e-01   7.7839424091e-01   1.2793799502e-01
   3.5289970682e-02  -2.9622787923e-02   1.0000000000e+00   1.2500000000e-02   8.4163136182e-01   7.5300421255e-01   1.2220056492e-01
   1.5697230229e-01   1.0020272929e-01   1.0000000000e+00   1.2500000000e-02   8.1032775923e-01   7.2874603919e-01   1.1439488041e-01
   2.6339131886e-01   2.1374187529e-01   1.0000000000e+00   1.2500000000e-02   7.6737238432e-01   7.0274272821e-01   1.0612594601e-01
   3.5764348212e-01   3.1304076242e-01   1.0000000000e+00   1.2500000000e-02   7.1870102182e-01   6.7317392399e-01   9.7873647289e-02
   4.4344700129e-01   4.0224620182e-01   1.0000000000e+00   1.2500000000e-02   6.6715803623e-01   6.3900007293e-01   8.9578856076e-02
   5.2366381770e-01   4.8464780077e-01   1.0000000000e+00   1.2500000000e-02   6.1416412506e-01   5.9950758019e-01   8.1029824147e-02
   6.0046874734e-01   5.6267983464e-01   1.0000000000e+00   1.2500000000e-02   5.6049269150e-01   5.5400537016e-01   7.1984191926e-02
   6.7565327325e-01   6.3825766004e-01   1.0000000000e+00   1.2500000000e-02   5.0660469598e-01   5.0163036265e-01   6.2201508976e-02
   7.5086952881e-01   7.1304888646e-01   1.0000000000e+00   1.2500000000e-02   4.5281715608e-01   4.4118371315e-01   5.1449079694e-02
   8.2784557655e-01   7.8869017116e-01   1.0000000000e+00   1.2500000000e-02   3.9941385536e-01   3.7093742207e-01   3.9501996253e-02
   9.0862232050e-01   8.6700098193e-01   1.0000000000e+00   1.2500000000e-02   3.4675919779e-01   2.8835933122e-01   2.6150114008e-02
   9.9584586436e-01   9.5024365907e-01   1.0000000000e+00   1.2500000000e-02   2.9549202773e-01   1.8973321224e-01   1.1236482749e-02
   1.0930093446e+00   1.0414480697e+00   1.0000000000e+00   1.2500000000e-02   2.4697013862e-01   6.9897621522e-02  -5.1950148660e-03
   1.2038805018e+00   1.1445706195e+00   1.0000000000e+00   1.2500000000e-02   2.0424343069e-01  -7.6464938075e-02  -2.2435295951e-02
   1.3295997956e+00   1.2631903841e+00   1.0000000000e+00   1.2500000000e-02   1.7280307591e-01  -2.4873620699e-01  -3.8326626008e-02
   1.4655394030e+00   1.3960092071e+00   1.0000000000e+00   1.2500000000e-02   1.5767891110e-01  -4.3247910900e-01  -4.9805115269e-02
